,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
23,1437.48,253.56,290.62,531.28,828.69,646.71,63.59,37.47,186.21,510.23,746.72,822.68,10311.64,13987.77,8231.32,3656.07,7030.64,1845.42,1096.80,2756.48,2178.36,9116.01,3158.58,21233.80,547.08,2907.49,80303.26,8522.62,10051.27,7706.27,3357.56,455.25,305.27,71.04,981.30,289.58,232.17,1.89,0.21,0.14,0.01,267.09,2983.86,689.40,28.08,18.48,96.67,1.80,16.22,8.62,10.91,6.18,3594.73,4067.67,937.50,535.78,7.29,0.79,0.01,35.82,210.58
24,204.40,36.11,41.08,70.96,125.39,84.79,8.23,5.21,23.31,61.29,111.09,108.53,1574.96,2137.39,995.62,425.02,885.12,237.26,185.96,383.38,422.24,5827.50,9157.84,2457.82,6436.39,15824.86,30330.61,1161.81,2214.85,5482.38,2690.76,409.62,201.71,30.66,279.25,365.95,27.16,0.22,0.03,0.02,0.00,31.29,351.62,80.02,3.26,2.17,11.70,0.24,2.26,1.27,1.62,0.89,436.25,542.29,159.39,76.23,0.92,0.09,0.00,8.30,64.40
25,309.96,54.70,62.29,107.81,189.50,128.94,12.51,7.89,35.47,93.24,168.24,165.05,2385.78,3248.89,1513.35,644.18,1347.15,361.05,280.95,582.16,634.27,7886.03,11053.59,3713.64,4499.07,24085.68,44790.09,1711.15,3084.80,6927.90,3138.20,446.04,228.36,36.78,366.84,384.24,40.79,0.33,0.04,0.03,0.00,47.53,527.11,121.30,4.91,3.30,17.81,0.37,3.43,1.92,2.44,1.34,650.17,793.15,224.71,109.89,1.40,0.14,0.00,11.05,82.04
26,537.85,94.78,108.66,198.49,311.44,241.72,23.83,13.99,69.99,193.62,280.82,307.32,3905.86,5411.49,3082.23,1414.67,2628.89,689.80,426.15,1030.79,873.80,11248.47,4227.56,7930.73,666.75,3463.22,108761.00,4154.81,6757.20,8748.90,3544.29,460.05,280.02,56.33,702.17,323.62,96.25,0.76,0.08,0.05,0.00,103.56,1249.36,270.71,11.42,7.19,36.83,0.68,6.06,3.22,4.08,2.31,1561.15,1924.48,520.37,264.16,2.75,0.30,0.01,22.68,149.24
27,1797.56,344.84,380.36,785.12,975.89,955.17,107.83,55.88,314.72,911.29,824.59,1135.18,9825.54,9034.58,7704.54,6287.20,8717.34,2508.18,841.00,3372.09,1485.96,6398.77,1614.08,7718.69,234.21,1213.32,38101.51,28849.06,23973.51,7470.02,4616.65,787.70,638.89,185.79,2662.71,391.75,636.23,4.83,0.35,0.21,0.02,585.76,8197.11,1570.08,74.52,42.87,197.52,3.12,25.97,12.37,15.80,9.41,10437.21,13313.21,3137.82,1788.91,14.32,1.78,0.03,114.09,612.94
28,933.83,183.70,199.71,424.32,504.79,512.24,62.30,30.81,176.75,508.48,422.36,595.39,5027.60,4990.41,4099.98,3262.50,4455.54,1301.28,439.88,1739.07,789.96,9093.06,2134.78,5594.76,274.41,1344.33,38084.43,14734.03,67406.21,14219.22,11899.12,2210.67,1772.59,469.72,6580.67,1042.78,516.10,3.92,0.21,0.12,0.01,382.86,6067.90,1022.25,61.52,31.38,128.08,1.88,15.02,6.82,8.76,5.33,7246.77,13573.31,4818.74,2186.00,9.36,1.29,0.02,225.90,1407.79
29,638.28,115.99,131.26,256.03,356.25,313.37,33.34,17.96,98.31,283.55,316.61,386.78,4212.31,5433.57,3669.32,2076.10,3258.91,871.72,428.45,1222.79,838.72,35094.20,10562.86,8165.51,1293.03,5747.23,93866.88,8739.57,27067.86,85866.41,34410.93,4449.94,2560.18,450.27,4317.98,3162.44,213.85,1.61,0.11,0.07,0.01,178.23,2637.69,478.30,25.20,13.45,59.92,0.95,8.08,4.01,5.09,2.97,3313.16,5464.81,2034.99,895.76,4.34,0.56,0.01,127.56,1007.40
30,797.39,151.14,167.36,344.51,436.20,418.69,49.12,24.67,140.59,406.09,378.03,499.17,4812.92,5763.88,4210.39,2766.70,3998.92,1110.41,464.00,1510.07,881.57,32919.04,11688.53,8327.03,1485.40,6093.47,89005.26,12642.19,53017.68,80542.35,280540.74,36275.07,20252.31,3181.17,18929.99,23529.79,454.20,3.64,0.17,0.10,0.01,304.66,4936.18,810.04,56.95,26.79,102.26,1.48,11.83,5.46,6.99,4.22,5719.36,12632.66,5949.63,2638.98,7.55,1.11,0.02,614.62,5863.25
31,105.74,21.43,22.86,50.21,56.99,59.85,8.24,3.79,21.88,61.40,47.45,67.89,571.97,629.18,485.78,367.47,501.06,146.95,52.19,195.80,96.61,3272.44,1277.79,867.95,173.83,665.78,8881.06,1658.19,7571.94,8006.81,27885.96,168600.06,72801.20,8242.22,7243.13,17854.43,120.58,1.27,0.03,0.02,0.00,60.20,993.75,152.30,18.61,7.45,21.49,0.28,2.06,0.85,1.10,0.70,968.82,3111.08,1764.73,1028.64,1.75,0.32,0.01,543.67,7699.74
32,90.89,19.66,20.21,46.70,48.69,54.47,8.62,3.74,21.21,57.27,38.78,59.05,441.79,438.19,354.85,302.46,399.85,123.98,38.05,164.04,68.55,1828.33,629.59,558.88,82.20,327.32,5190.97,1291.49,5830.22,4423.53,14950.15,69908.85,226859.28,25185.12,7947.85,7553.82,161.56,2.12,0.04,0.02,0.00,68.56,1085.33,164.82,29.39,11.02,26.33,0.34,2.28,0.85,1.13,0.75,922.01,3648.02,2114.49,1575.05,2.38,0.50,0.01,1120.48,17870.87
